filename	filepath	duration	accent	language	age	gender	transcript	speaker	predicttrans	wer	mos	duration2
CN01_EN_01NC01FBX_0101_3756769_3759635.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_3756769_3759635.wav	2.866	SG	EN	22.0	F	you mean tampines safra there is a minds cafe there ohh	SGCN01	 You mean that means Saffron Dessert Mines cafe there? Yeah We should probably go home now too.	1.3636363636363635	3.407538890838623	2.866
CN01_EN_01NC01FBX_0101_4275576_4277907.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_4275576_4277907.wav	2.331	SG	EN	22.0	F	so don't tell people you are from n.t.u.	SGCN01	 So don't tell V for your ranting.	0.5555555555555556	2.288275718688965	2.3310625
CN01_EN_01NC01FBX_0101_6128566_6130495.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_6128566_6130495.wav	1.929	SG	EN	22.0	F	okay but he will be very sad	SGCN01	 Okay, but he would be very sad.	0.42857142857142855	2.583397388458252	1.929
CN01_EN_01NC01FBX_0101_6744606_6745704.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_6744606_6745704.wav	1.098	SG	EN	22.0	F	something like that i don't know	SGCN01	 Or something like that, I don't know.	0.42857142857142855	1.6924350261688232	1.0980625
CN01_EN_01NC01FBX_0101_3822453_3823752.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_3822453_3823752.wav	1.299	SG	EN	22.0	F	the roomie lives in serangoon right	SGCN01	 The room is a strangling right?	0.8333333333333334	2.9009761810302734	1.2990625
CN01_EN_01NC01FBX_0101_4946956_4948644.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_4946956_4948644.wav	1.688	SG	EN	22.0	F	(eh) not long term long distance	SGCN01	 It's not long, long distance.	0.8333333333333334	4.420096397399902	1.6880625
CN01_EN_01NC01FBX_0101_3820738_3822238.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_3820738_3822238.wav	1.5	SG	EN	22.0	F	you got [oh] you [oh]	SGCN01	 You are on.	0.6666666666666666	3.0835466384887695	1.5
CN01_EN_01NC01FBX_0101_5070648_5072175.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_5070648_5072175.wav	1.527	SG	EN	22.0	F	one of the you know	SGCN01	 one of the you know	0.0	3.8037335872650146	1.527
CN01_EN_01NC01FBX_0101_4265106_4266607.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_4265106_4266607.wav	1.501	SG	EN	22.0	F	ya [lor] it's every thing	SGCN01	 Yeah, no, it's everything	0.8	2.688255548477173	1.501
CN01_EN_01NC01FBX_0101_6126615_6128169.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_6126615_6128169.wav	1.554	SG	EN	22.0	F	comment on it and like	SGCN01	 Comment on it and like...	0.2	3.371605634689331	1.5540625
CN01_EN_01NC01FBX_0101_5930918_5932713.wav	data/selected/seame/SG/SGCN01/CN01_EN_01NC01FBX_0101_5930918_5932713.wav	1.795	SG	EN	22.0	F	so what's the plan later	SGCN01	 So what's the penalty though?	0.3333333333333333	3.8128602504730225	1.7950625
CN02_EN_01NC02FBY_0101_4288624_4297090.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_4288624_4297090.wav	8.466	SG	EN	23.0	F	addition is not- i never say addition is not- (er) multiplication is not a form of addition [nah] i just- i'm just telling you that you say (um) square is not a	SGCN02	 addition is not i never said addition is not a multiplication is not a form of addition i'm just telling you that you say squares is not a	0.25	3.768256425857544	8.466
CN02_EN_01NC02FBY_0101_3897031_3903611.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_3897031_3903611.wav	6.58	SG	EN	23.0	F	no i'm a children everybody thinks i'm a children my mummy say i'm a children your mummy said i'm a children i'm a child also	SGCN02	 No, I'm a children! Everybody thinks I'm a children. My mommy say I'm a children. Your mommy say I'm a children. I'm a child so.	0.3	4.007759094238281	6.58
CN02_EN_01NC02FBY_0101_4342691_4348300.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_4342691_4348300.wav	5.609	SG	EN	23.0	F	no up no down already i don't want no left no right already i don't want to purposely unnecessary things also argue with you	SGCN02	 No, I'm no doll already. I don't want- no, I know already. I don't want to purposely unnecessary things also argue with you.	0.46153846153846156	3.8941447734832764	5.6090625
CN02_EN_01NC02FBY_0101_1408817_1412825.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_1408817_1412825.wav	4.008	SG	EN	23.0	F	what so how go and bath and get my ass out of the house [lah] what so how	SGCN02	 What so how? Go and bathe and get my ass out of the house la, what so how?	0.23529411764705882	4.447991847991943	4.0080625
CN02_EN_01NC02FBY_0101_2349244_2352264.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_2349244_2352264.wav	3.02	SG	EN	23.0	F	so i got i.c.q. m.s.n. then sometimes when i talk to her or tell her rubbish like	SGCN02	 Sorry bro, I see my message and it's on the top of the wall. Double Robbie slide.	1.0	4.265752792358398	3.02
CN02_EN_01NC02FBY_0101_5591030_5595589.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_5591030_5595589.wav	4.559	SG	EN	23.0	F	(errr)  i  think  i  crashed  the  server  alan  is  trying  to  help  me  fix  now	SGCN02	 Uh... I think I crashed the server. Allen is trying to help me fix now.	0.26666666666666666	4.6051812171936035	4.5590625
CN02_EN_01NC02FBY_0101_4061390_4066320.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_4061390_4066320.wav	4.93	SG	EN	23.0	F	apparently  mathew  knows  how  to  do  multiplication  before  he  can  do  addition	SGCN02	 Apparently, Matthew knows how to do multiplication before he can do addition.	0.25	4.165590763092041	4.9300625
CN02_EN_01NC02FBY_0101_5384222_5386100.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_5384222_5386100.wav	1.878	SG	EN	23.0	F	no in the end we didn't go causway-point we went yi-shun	SGCN02	 when you needed a golden Lagart Mantisob.	1.0	4.379141330718994	1.8780625
CN02_EN_01NC02FBY_0101_5887400_5889884.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_5887400_5889884.wav	2.484	SG	EN	23.0	F	why  you  must  reboot  why  you  cannot  just  restart  that  thing	SGCN02	 Why you must reboot? Why you cannot just restart that thing?	0.18181818181818182	4.874140739440918	2.4840625
CN02_EN_01NC02FBY_0101_6853687_6856942.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_6853687_6856942.wav	3.255	SG	EN	23.0	F	[oh] my god but ya it looks very very very #chio#	SGCN02	 Oh my god, yeah it looks very very Rachel	0.6	2.1950552463531494	3.2550625
CN02_EN_01NC02FBY_0101_4414080_4417420.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_4414080_4417420.wav	3.34	SG	EN	23.0	F	numbers  either  from  zero  to  nine  you  will  be  able  to	SGCN02	 numbers either from 0 to 9, you'll be able to	0.18181818181818182	4.445181846618652	3.34
CN02_EN_01NC02FBY_0101_495730_498320.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_495730_498320.wav	2.59	SG	EN	23.0	F	[oh]  my  god  saturday  night  and  you  are  at  home	SGCN02	 Oh my god, Saturday night and you're at home?	0.3333333333333333	4.266955852508545	2.5900625
CN02_EN_01NC02FBY_0101_4221670_4223730.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_4221670_4223730.wav	2.06	SG	EN	23.0	F	[oh]  this  one  i  saw  before  already  but  thanks  anyway	SGCN02	 Oh this one I saw before already but thanks anyway.	0.2222222222222222	4.3475847244262695	2.06
CN02_EN_01NC02FBY_0101_4178084_4180290.wav	data/selected/seame/SG/SGCN02/CN02_EN_01NC02FBY_0101_4178084_4180290.wav	2.206	SG	EN	23.0	F	or rather i don't have a grandma to start with	SGCN02	 Or rather, I don't have a grandma to start with.	0.18181818181818182	4.6124114990234375	2.206
